id,veh_value,exposure,veh_body,veh_age,gender,area,agecat,engine_type,max_power,driving_history_score,veh_color,marital_status,e_bill,time_of_week_driven,time_driven,trm_len,credit_score,high_education_ind
1,3.4,0.076279026,STNWG,2,M,B,4,petrol,174,83,black,S,1,weekday,6pm - 12am,6,648.2475936,0
2,2.55,0.093443012,STNWG,2,F,A,3,petrol,181,65,yellow,M,0,weekday,12am - 6 am,12,637.7526768,0
3,3.04,0.157762166,STNWG,2,F,E,4,petrol,136,64,white,S,1,weekday,12pm - 6pm,12,661.4837858,0
4,2.05,0.560734615,MIBUS,4,M,C,6,dissel,164,82,gray,M,1,weekday,6am - 12pm,12,647.8463646,0
5,1.93,0.258274787,HBACK,2,M,C,4,dissel,89,48,black,S,0,weekday,6am - 12pm,12,640.25755,0
6,1.36,0.812054669,UTE,3,M,C,4,petrol,236,46,black,S,0,weekday,12pm - 6pm,12,631.2235539,0
7,1.59,0.424605353,SEDAN,3,F,B,2,petrol,178,59,white,S,1,weekday,6am - 12pm,6,650.5873474,0
8,0.84,0.195470262,HBACK,4,M,D,2,petrol,97,57,green,M,1,weekday,12pm - 6pm,6,645.0103047,0
9,1.59,0.357042913,SEDAN,2,M,E,6,hybrid,126,79,white,M,1,weekday,12pm - 6pm,12,640.2544499,0
10,4.23,0.208619846,STNWG,2,F,D,3,dissel,143,56,black,S,1,weekday,12pm - 6pm,6,644.8215139,0
11,4.41,0.241959124,STNWG,1,F,A,2,dissel,176,59,brown,S,0,weekend,6am - 12pm,12,641.7035424,0
12,2.92,0.814198818,STNWG,1,M,C,4,petrol,155,84,gray,M,1,weekday,6am - 12pm,12,649.8809979,0
13,3.22,0.177964731,STNWG,3,M,B,3,petrol,116,78,white,S,0,weekday,12pm - 6pm,12,643.7953001,0
14,0.27,0.774351743,HBACK,4,M,B,6,petrol,91,92,white,S,0,weekday,12pm - 6pm,12,649.0163915,0
15,0.77,0.360862955,HBACK,4,F,B,2,petrol,85,79,gray,M,0,weekday,12pm - 6pm,12,653.5586679,0
16,1.12,0.453215977,SEDAN,4,M,C,4,petrol,122,66,blue,M,1,weekday,6am - 12pm,12,666.2529788,0
17,1.94,0.166198921,HBACK,2,F,B,3,petrol,141,74,white,M,1,weekday,6am - 12pm,12,650.4750518,0
18,0.33,0.221879662,SEDAN,4,F,D,3,dissel,182,69,white,M,1,weekend,12pm - 6pm,12,642.3811861,0
19,1.88,0.718510392,HBACK,2,M,A,2,electric,85,66,black,M,1,weekend,6am - 12pm,12,663.8257633,0
20,0.57,0.499869979,UTE,4,M,C,1,petrol,232,75,silver,M,0,weekday,12pm - 6pm,12,653.8760567,0
21,4.15,0.356989379,STNWG,2,F,D,5,dissel,154,67,blue,S,1,weekend,12pm - 6pm,12,643.3789065,0
22,1.31,0.129794389,HBACK,1,F,C,4,petrol,76,99,blue,M,1,weekday,6am - 12pm,12,653.3548994,0
23,1.4,0.075230641,HBACK,2,F,C,2,petrol,83,86,white,S,1,weekday,6am - 12pm,6,654.4416818,0
24,1.2,0.394073327,SEDAN,3,F,C,4,dissel,194,93,silver,S,1,weekday,6pm - 12am,12,648.335639,0
25,1.11,0.882245008,HBACK,2,F,C,4,petrol,141,99,silver,S,0,weekend,12pm - 6pm,12,652.0907748,1
26,0.8,0.117097145,HBACK,3,F,C,3,petrol,137,60,yellow,S,0,weekend,12pm - 6pm,12,654.593978,0
