id,veh_value,exposure,veh_body,veh_age,gender,area,agecat,engine_type,max_power,driving_history_score,veh_color,marital_status,e_bill,time_of_week_driven,time_driven,trm_len,credit_score,high_education_ind,clm,numclaims,claimcst0
1,0.77,0.444504408,SEDAN,4,M,D,3,petrol,147,67.0,black,S,1,weekday,6pm - 12am,6,640.4481366165202,1.0,0,0,0.0
2,4.45,0.56218304,STNWG,1,M,A,3,petrol,158,76.0,white,S,1,weekday,6am - 12pm,12,683.7496914708546,0.0,0,0,0.0
3,4.9,0.465243585,STNWG,1,F,A,3,petrol,159,58.0,black,M,1,weekday,6pm - 12am,6,653.6561171123242,1.0,0,0,0.0
4,0.48,0.271038734,PANVN,4,M,A,4,petrol,80,72.0,white,S,1,weekday,12pm - 6pm,12,642.5746709710019,0.0,0,0,0.0
5,0.85,0.141623528,SEDAN,4,F,A,5,petrol,126,91.0,white,S,0,weekday,6am - 12pm,6,647.175035131354,0.0,0,0,0.0
6,1.37,0.0731002965,SEDAN,3,M,A,4,electric,152,59.0,white,S,1,weekday,6pm - 12am,6,656.7550231178626,0.0,0,0,0.0
7,4.74,0.3421712515,UTE,1,M,C,2,petrol,232,61.0,gray,M,1,weekday,12pm - 6pm,6,653.2683036785088,0.0,0,0,0.0
8,0.41,0.961870316,SEDAN,4,M,C,2,petrol,106,37.0,black,M,0,weekday,12pm - 6pm,12,644.5043351998797,1.0,0,0,0.0
9,1.41,0.849751814,SEDAN,3,F,C,4,petrol,105,41.0,black,S,0,weekend,6am - 12pm,12,664.2505897013496,1.0,0,0,0.0
10,3.26,0.432778181,STNWG,2,F,A,2,petrol,100,99.0,white,S,1,weekday,12pm - 6pm,6,654.2152104510052,0.0,0,0,0.0
11,4.68,0.1006354655,STNWG,2,M,F,1,petrol,159,85.0,black,S,0,weekday,12pm - 6pm,6,641.7198059167531,0.0,0,0,0.0
12,2.03,0.989149938,HBACK,2,M,A,5,petrol,151,76.0,blue,S,0,weekend,12am - 6 am,12,662.206387487945,1.0,0,0,0.0
13,1.94,0.610933708,HBACK,2,F,C,2,petrol,73,93.0,gray,M,1,weekday,12am - 6 am,12,641.1250450632631,0.0,1,1,209.047053
14,1.62,0.200419123,HBACK,2,M,C,6,petrol,119,86.0,silver,M,1,weekday,6pm - 12am,12,674.9858073898591,0.0,0,0,0.0
15,1.86,0.179122313,STNWG,4,M,A,2,petrol,139,90.0,silver,S,1,weekday,6pm - 12am,12,656.7329252996386,0.0,0,0,0.0
16,1.64,0.03685979,HBACK,2,F,C,3,petrol,126,99.0,blue,S,0,weekday,12pm - 6pm,12,652.8099974369807,0.0,0,0,0.0
17,0.83,0.732210102,UTE,4,M,E,4,electric,163,50.0,gray,S,0,weekday,6pm - 12am,12,641.8312880985067,0.0,0,0,0.0
18,1.4,0.709742816,SEDAN,3,F,B,2,petrol,137,38.0,brown,S,0,weekday,6pm - 12am,12,647.0739200279152,0.0,0,0,0.0
19,2.45,0.114118771,TRUCK,2,M,E,5,dissel,291,72.0,gray,S,0,weekday,12pm - 6pm,12,655.7437397260427,0.0,0,0,0.0
20,1.46,0.658287425,HBACK,1,F,A,4,electric,127,81.0,gray,S,1,weekday,12pm - 6pm,12,647.5572374936266,0.0,0,0,0.0
21,0.88,0.374208931,HBACK,3,F,E,4,petrol,120,74.0,gray,S,1,weekday,12pm - 6pm,6,655.5010678674471,0.0,0,0,0.0
22,1.44,0.1911089295,UTE,2,M,A,3,petrol,206,86.0,gray,S,0,weekday,6am - 12pm,6,646.2074688552951,0.0,0,0,0.0
23,2.05,0.822841223,HBACK,1,F,D,5,electric,115,33.0,black,M,1,weekend,6am - 12pm,12,660.9148474571599,0.0,0,0,0.0
24,1.18,0.1673308695,SEDAN,3,F,C,6,petrol,181,68.0,black,S,1,weekend,6am - 12pm,6,642.7495609681453,0.0,0,0,0.0
25,2.21,0.201554235,STNWG,3,F,E,5,electric,119,65.0,silver,M,1,weekend,12pm - 6pm,6,643.8505256887714,0.0,0,0,0.0
26,1.55,0.405645612,SEDAN,2,F,B,2,petrol,153,76.0,gray,S,1,weekday,6am - 12pm,12,645.0850176439191,0.0,0,0,0.0
27,0.83,0.119158883,UTE,4,M,A,1,dissel,230,70.0,red,M,1,weekend,12pm - 6pm,12,655.5122679804365,0.0,0,0,0.0
28,1.98,0.3848041515,SEDAN,2,M,C,5,petrol,145,67.0,gray,S,1,weekday,6pm - 12am,6,671.2983203336356,0.0,0,0,0.0
29,2.87,0.416699133,HDTOP,2,M,C,1,dissel,288,55.0,blue,S,1,weekday,6am - 12pm,12,697.0106187241201,0.0,0,0,0.0
30,1.6,0.915381647,HBACK,2,M,C,3,petrol,71,87.0,brown,S,1,weekday,12pm - 6pm,12,638.3362992427496,1.0,0,0,0.0
31,1.75,0.27600595,STNWG,4,F,C,2,electric,104,88.0,blue,S,0,weekday,6am - 12pm,6,659.9630791182454,0.0,0,0,0.0
32,1.48,0.679921206,STNWG,4,M,A,4,petrol,158,81.0,white,M,1,weekday,12pm - 6pm,12,638.543177069204,0.0,0,0,0.0
33,2.45,0.707150833,HBACK,1,M,E,4,dissel,128,52.0,gray,M,1,weekday,6am - 12pm,12,655.1613904084833,0.0,0,0,0.0
34,1.26,0.023817802,SEDAN,4,F,E,3,hybrid,120,99.0,gray,S,0,weekend,12pm - 6pm,12,655.5457417748158,0.0,0,0,0.0
35,3.55,0.808642594,SEDAN,1,F,A,4,petrol,202,77.0,red,M,0,weekday,6am - 12pm,12,644.5036802217489,0.0,0,0,0.0
36,1.8,0.969389833,SEDAN,2,F,D,5,petrol,126,47.0,black,M,1,weekend,12pm - 6pm,12,667.2430791705102,1.0,0,0,0.0
37,1.33,0.531573544,HBACK,2,F,C,4,hybrid,140,60.0,brown,S,0,weekend,12pm - 6pm,12,650.0912610730686,0.0,0,0,0.0
38,1.86,0.819928248,SEDAN,2,M,B,6,hybrid,124,96.0,green,M,0,weekday,12pm - 6pm,12,645.902609842652,0.0,0,0,0.0
39,0.59,0.892341233,PANVN,4,M,B,3,dissel,84,51.0,black,S,1,weekday,6am - 12pm,12,639.8051187515184,0.0,0,0,0.0
40,1.89,0.964906729,SEDAN,3,F,B,6,petrol,108,75.0,silver,M,1,weekend,12pm - 6pm,12,643.7217275209597,1.0,0,0,0.0
41,0.45,0.2142339075,HBACK,4,M,B,4,dissel,130,70.0,black,M,0,weekday,6am - 12pm,6,644.4792118158442,0.0,0,0,0.0
42,0.48,0.1499858125,HBACK,4,F,A,3,hybrid,125,70.0,green,M,1,weekday,12pm - 6pm,6,642.4259602709346,0.0,0,0,0.0
43,0.97,0.103203808,HBACK,2,M,B,4,electric,153,88.0,blue,S,0,weekday,6pm - 12am,12,620.8361280330316,0.0,0,0,0.0
44,1.19,0.152810974,HBACK,2,F,A,1,petrol,70,97.0,blue,M,1,weekday,6am - 12pm,12,682.8538714521192,0.0,0,0,0.0
45,1.7,0.240642194,MIBUS,4,M,B,3,dissel,206,48.0,gray,S,0,weekday,6pm - 12am,12,643.787547677364,0.0,0,0,0.0
46,3.3,0.467579019,STNWG,3,M,A,4,petrol,126,80.0,gray,M,0,weekday,6pm - 12am,12,647.9788419756826,0.0,0,0,0.0
47,2.06,0.252252851,STNWG,3,M,C,3,dissel,194,67.0,white,M,1,weekday,6am - 12pm,6,652.096870159177,0.0,0,0,0.0
48,3.18,0.588512475,STNWG,2,F,A,3,petrol,205,66.0,black,S,1,weekday,6am - 12pm,12,636.3950293624848,0.0,0,0,0.0
49,1.79,0.46699529,HBACK,2,F,C,3,dissel,70,73.0,green,M,1,weekday,12am - 6 am,6,650.5454300012641,1.0,1,1,1586.249277
50,1.86,0.912142385,HBACK,2,M,C,5,hybrid,123,71.0,brown,M,0,weekday,6pm - 12am,12,671.0225949375364,1.0,0,0,0.0
51,1.56,0.110003457,SEDAN,4,M,B,5,petrol,124,97.0,black,M,1,weekday,6am - 12pm,12,663.8261685240838,0.0,0,0,0.0
52,1.17,0.586015275,STNWG,4,M,C,4,dissel,113,88.0,white,M,1,weekday,12pm - 6pm,12,663.7230179754307,0.0,0,0,0.0
53,2.15,0.62957887,SEDAN,2,M,C,5,petrol,136,99.0,brown,M,1,weekday,12pm - 6pm,12,641.8969729097233,0.0,0,0,0.0
54,0.81,0.594298024,HBACK,3,F,B,3,electric,99,55.0,gray,S,1,weekday,12pm - 6pm,12,642.5051168678922,0.0,0,0,0.0
55,1.93,0.2898476115,STNWG,4,M,F,3,hybrid,185,74.0,black,M,1,weekday,6pm - 12am,6,658.9410298949363,0.0,0,0,0.0
56,0.82,0.524260479,HBACK,4,F,D,2,petrol,127,58.0,white,M,1,weekday,6am - 12pm,12,642.580001916899,0.0,0,0,0.0
57,1.6,0.250682793,STNWG,4,M,F,4,petrol,133,51.0,white,M,1,weekday,12pm - 6pm,6,642.0394270920241,0.0,0,0,0.0
58,1.52,0.958854132,STNWG,3,F,A,2,petrol,193,50.0,black,M,1,weekday,6am - 12pm,12,643.087258798709,1.0,0,0,0.0
59,2.81,0.384971301,SEDAN,2,F,C,5,petrol,197,43.0,blue,S,1,weekday,12pm - 6pm,6,642.5237057988927,0.0,0,0,0.0
60,1.27,0.09830975,STNWG,4,F,C,5,petrol,130,13.0,gray,S,1,weekday,12pm - 6pm,12,666.408498171581,0.0,0,0,0.0
61,1.5,0.488362796,STNWG,4,F,A,2,dissel,142,99.0,gray,S,0,weekend,12pm - 6pm,12,642.9031172706735,0.0,0,0,0.0
62,1.82,0.111664932,HBACK,1,F,A,3,petrol,153,51.0,white,S,1,weekday,12pm - 6pm,6,643.0502633460094,0.0,0,0,0.0
63,5.77,0.952013695,STNWG,1,M,D,3,dissel,116,95.0,red,S,0,weekday,6am - 12pm,12,641.9081386986104,1.0,0,0,0.0
